DC3000	241185	241186	241187	241188	241189	241190	241191	241193	241195	241199	241201	241203	241204	241205	241207	241211	241212	241216	241217	241219	241220	241227	241228	241231	241232	241234	241235	241237	241239	241241	241244	241247	241249	241250	241251	241252	241255	241256	241258	241261	241263	241266	241270	241271	241272	241273	241274	241275	241276	241277	241278	241279	241280	241281	241282	241283	241284	241285	241286	241287	241288	241289	241290	241291	241292	241293	241294	241296	241301	241303	241304	241309	241312	241317	241320	241326	241331	241333	241334	241335	241336	241338	241339	241342	241345	241346	241347	241348	241349	241351	241352	241353	241354	241361	241415	241417	241422	241423	241424	241425	241426	241431	241432	241458	241466	241467	241469	241472	241486	241492	241500	241501	241504	241507	241510	241544	241547	241563	241564	241565	241566	241567	241568	241569	241570	241571	241572	241573	241574	241575	241576	241578	241579	241580	241581	241582	241605	241613	241614	241616	241617	241620	241621	241630	241638
g1012	g1523	g1486	g1510	g1535	g1502	g1534	g1712	g1670	g1600	g1507	g1819	g1473	g1562	g1509	g1578	g1496	g1493	g1239	g1514	g1599	g1498	g1772	g1650	g1485	g1457	g1474	g1495	g1482	g1498	g1518	g1479	g1479	g1482	g1518	g1484	g1470	g1481	g1674	g1466	g1837	g1483	g1596	g1497	g1497	g1937	g1525	g1497	g1497	g1497	g1497	g1511	g1516	g1497	g1544	g1497	g1497	g1509	g1503	g1525	g1497	g1518	g1501	g1497	g1497	g1497	g1497	g1297	g1509	g1497	g1549	g1514	g1831	g2818	g1532	g1619	g1511	g1996	g1756	g1518	g1829	g2495	g1619	g1511	g1585	g1497	g1509	g1497	g1507	g1754	g1497	g1647	g1497	g1480	g3345	g1201	g1307	g1727	g1503	g1249	g1519	g1564	g1522	g1494	g1698	g1663	g1497	g1505	g1611	g1502	g1831	g1486	g1512	g1475	g1513	g1583	g1572	g1508	g1497	g1525	g1525	g1323	g1511	g1497	g1497	g1518	g1500	g1497	g1526	g1497	g1511	g1497	g1497	g1497	g1497	g1518	g1459	g1830	g1651	g1704	g1838	g1640	g1703	g1535	g1512	g1501
g1013	g1524	g1487	g1511	g1536	g1503	g1535	g1716	g1672	g1601	g1508	g1820	g1474	g1563	g1510	g1579	g1497	g1494	g1240	g1515	g1600	g1500	g1773	g1651	g1486	g1458	g1475	g1496	g1483	g1500	g1519	g1480	g1480	g1483	g1519	g1485	g1471	g1482	g1682	g1467	g1838	g1484	g1599	g1498	g1498	g1938	g1526	g1498	g1498	g1498	g1498	g1512	g1517	g1498	g1545	g1498	g1498	g1510	g1504	g1526	g1498	g1519	g1502	g1498	g1498	g1498	g1498	g1299	g1510	g1498	g1550	g1515	g1832	g2823	g1533	g1622	g1512	g1997	g1757	g1519	g1830	g2499	g1622	g1512	g1586	g1498	g1510	g1498	g1508	g1755	g1498	g1648	g1498	g1481	g3346	g1202	g1308	g1728	g1504	g1251	g1520	g1565	g1523	g1495	g1699	g1664	g1498	g1506	g1612	g1503	g1832	g1487	g1513	g1477	g1514	g1584	g1573	g1509	g1498	g1526	g1526	g1324	g1512	g1498	g1498	g1519	g1501	g1498	g1528	g1498	g1512	g1498	g1498	g1498	g1498	g1519	g1460	g1831	g1652	g1705	g1839	g1641	g1704	g1536	g1514	g1502
g1014	g1525	g1489	g1512	g1537	g1504	g1536	g1718	g1673	g1602	g1509	g1821	g1475	g1564	g1511	g1581	g1498	g1495	g1246	g1516	g1601	g1501	g1774	g1652	g1487	g1459	g1477	g1497	g1484	g1501	g1520	g1481	g1481	g1484	g1520	g1486	g1472	g1483	g1690	g1468	g1839	g1485	g1600	g1500	g1500	g1940	g1528	g1500	g1500	g1500	g1500	g1513	g1518	g1500	g1546	g1500	g1500	g1511	g1505	g1528	g1500	g1520	g1503	g1500	g1500	g1500	g1500	g1300	g1511	g1500	g1551	g1516	g1833	g2842	g1534	g1626	g1513	g1998	g1758	g1520	g1831	g2505	g1626	g1513	g1587	g1500	g1511	g1500	g1509	g1756	g1500	g1650	g1500	g1482	g3348	g1203	g1309	g1729	g1505	g1252	g1521	g1566	g1524	g1496	g1700	g1668	g1500	g1507	g1613	g1504	g1833	g1489	g1514	g1479	g1515	g1585	g1574	g1510	g1500	g1528	g1528	g1325	g1513	g1500	g1500	g1520	g1502	g1500	g1530	g1500	g1513	g1500	g1500	g1500	g1499	g1520	g1462	g1832	g1653	g1706	g1840	g1642	g1709	g1537	g1515	g1503
g1015	g1526	g1490	g1513	g1540	g1505	g1537	g1719	g1674	g1608	g1510	g1823	g1477	g1565	g1512	g1583	g1500	g1496	g1247	g1517	g1602	g1502	g1775	g1653	g1489	g1460	g1479	g1498	g1485	g1502	g1521	g1482	g1482	g1485	g1521	g1487	g1473	g1484	g1691	g1470	g1840	g1486	g1601	g1501	g1501	g1941	g1530	g1501	g1501	g1501	g1501	g1514	g1519	g1501	g1547	g1501	g1501	g1512	g1506	g1530	g1501	g1521	g1504	g1501	g1501	g1501	g1501	g1302	g1512	g1501	g1553	g1517	g1834	g2843	g1535	g1631	g1514	g1999	g1759	g1521	g1832	g2506	g1631	g1514	g1588	g1501	g1512	g1501	g1510	g1757	g1501	g1651	g1501	g1483	g3353	g1204	g1310	g1730	g1506	g1254	g1522	g1567	g1525	g1497	g1701	g1669	g1501	g1508	g1614	g1505	g1834	g1490	g1515	g1480	g1517	g1586	g1575	g1511	g1501	g1530	g1530	g1326	g1514	g1501	g1501	g1521	g1503	g1501	g1531	g1501	g1514	g1501	g1501	g1501	g1500	g1521	g1465	g1833	g1657	g1708	g1841	g1643	g1710	g1540	g1516	g1504
g1016	g1528	g1491	g1514	g1542	g1506	g1540	g1720	g1682	g1610	g1511	g1824	g1479	g1566	g1513	g1584	g1501	g1497	g1248	g1518	g1608	g1503	g1777	g1656	g1490	g1462	g1480	g1500	g1486	g1503	g1522	g1483	g1483	g1486	g1522	g1489	g1474	g1485	g1692	g1471	g1841	g1487	g1602	g1502	g1502	g1942	g1531	g1502	g1502	g1502	g1502	g1515	g1520	g1502	g1549	g1502	g1502	g1513	g1508	g1531	g1502	g1522	g1505	g1502	g1502	g1502	g1502	g1304	g1513	g1502	g1554	g1518	g1835	g2883	g1536	g1632	g1515	g2000	g1760	g1522	g1833	g2508	g1632	g1515	g1596	g1502	g1513	g1502	g1511	g1758	g1502	g1652	g1502	g1484	g3362	g1205	g1311	g1731	g1507	g1255	g1523	g1568	g1526	g1498	g1702	g1670	g1502	g1509	g1616	g1506	g1835	g1491	g1517	g1481	g1518	g1587	g1576	g1512	g1502	g1531	g1531	g1329	g1515	g1502	g1502	g1522	g1504	g1502	g1532	g1502	g1515	g1502	g1502	g1502	g1501	g1522	g1466	g1834	g1659	g1709	g1842	g1644	g1711	g1541	g1517	g1505
g1017	g1530	g1492	g1515	g1544	g1507	g1541	g1725	g1684	g1611	g1512	g1825	g1480	g1567	g1514	g1585	g1502	g1498	g1249	g1519	g1610	g1504	g1778	g1657	g1491	g1463	g1481	g1501	g1487	g1504	g1523	g1484	g1484	g1487	g1523	g1490	g1475	g1486	g1694	g1472	g1842	g1489	g1608	g1503	g1503	g1943	g1532	g1503	g1503	g1503	g1503	g1516	g1521	g1503	g1550	g1503	g1503	g1514	g1509	g1532	g1503	g1523	g1506	g1503	g1503	g1503	g1503	g1305	g1514	g1503	g1555	g1519	g1837	g2902	g1537	g1636	g1517	g2001	g1761	g1523	g1834	g2514	g1636	g1517	g1599	g1503	g1514	g1503	g1512	g1759	g1503	g1653	g1503	g1485	g3372	g1206	g1312	g1732	g1508	g1256	g1524	g1569	g1527	g1500	g1703	g1672	g1503	g1510	g1619	g1507	g1837	g1492	g1518	g1482	g1519	g1588	g1577	g1513	g1503	g1532	g1532	g1330	g1516	g1503	g1503	g1523	g1505	g1503	g1534	g1503	g1516	g1503	g1503	g1503	g1502	g1523	g1468	g1835	g1660	g1710	g1843	g1645	g1712	g1542	g1518	g1506
g1018	g1531	g1493	g1517	g1545	g1508	g1542	g1727	g1686	g1612	g1513	g1826	g1481	g1568	g1515	g1586	g1503	g1500	g1251	g1520	g1611	g1505	g1780	g1658	g1492	g1465	g1482	g1502	g1489	g1505	g1524	g1485	g1485	g1489	g1524	g1491	g1477	g1487	g1695	g1473	g1843	g1490	g1610	g1504	g1504	g1944	g1533	g1504	g1504	g1504	g1504	g1517	g1522	g1504	g1553	g1504	g1504	g1515	g1510	g1533	g1504	g1524	g1507	g1504	g1504	g1504	g1504	g1309	g1515	g1504	g1556	g1520	g1838	g2911	g1540	g1637	g1519	g2002	g1762	g1524	g1835	g2523	g1637	g1519	g1600	g1504	g1515	g1504	g1513	g1760	g1504	g1656	g1504	g1486	g3373	g1207	g1313	g1733	g1509	g1257	g1525	g1570	g1528	g1501	g1704	g1673	g1504	g1511	g1620	g1508	g1838	g1493	g1519	g1483	g1520	g1596	g1578	g1514	g1504	g1533	g1533	g1331	g1517	g1504	g1504	g1524	g1506	g1504	g1535	g1504	g1517	g1504	g1504	g1504	g1503	g1524	g1471	g1837	g1663	g1711	g1844	g1647	g1713	g1543	g1519	g1507
g1019	g1532	g1494	g1518	g1546	g1509	g1543	g1729	g1687	g1613	g1514	g1827	g1482	g1569	g1517	g1587	g1504	g1501	g1252	g1521	g1614	g1506	g1781	g1659	g1493	g1466	g1483	g1503	g1490	g1506	g1525	g1486	g1486	g1490	g1525	g1492	g1479	g1489	g1696	g1474	g1844	g1491	g1611	g1505	g1505	g1945	g1534	g1505	g1505	g1505	g1505	g1518	g1523	g1505	g1554	g1505	g1505	g1516	g1512	g1534	g1505	g1525	g1508	g1505	g1505	g1505	g1505	g1310	g1516	g1505	g1557	g1521	g1839	g2914	g1542	g1640	g1520	g2004	g1763	g1525	g1837	g2524	g1640	g1520	g1601	g1505	g1516	g1505	g1514	g1761	g1505	g1657	g1505	g1487	g3374	g1208	g1314	g1734	g1510	g1258	g1526	g1571	g1530	g1502	g1705	g1674	g1505	g1512	g1622	g1509	g1839	g1494	g1520	g1484	g1521	g1599	g1579	g1515	g1505	g1534	g1534	g1332	g1518	g1505	g1505	g1525	g1507	g1505	g1536	g1505	g1518	g1505	g1505	g1505	g1504	g1525	g1472	g1838	g1664	g1712	g1845	g1650	g1714	g1544	g1520	g1508
g1020	g1534	g1495	g1519	g1547	g1510	g1544	g1730	g1688	g1614	g1515	g1828	g1483	g1570	g1519	g1588	g1505	g1502	g1253	g1522	g1616	g1508	g1782	g1660	g1494	g1467	g1484	g1504	g1491	g1507	g1526	g1487	g1487	g1491	g1526	g1493	g1480	g1490	g1698	g1475	g1845	g1492	g1612	g1506	g1506	g1948	g1535	g1506	g1506	g1506	g1506	g1519	g1524	g1506	g1555	g1506	g1506	g1517	g1513	g1535	g1506	g1526	g1509	g1506	g1506	g1506	g1506	g1312	g1517	g1506	g1558	g1522	g1840	g2915	g1543	g1641	g1521	g2006	g1764	g1526	g1838	g2525	g1641	g1521	g1602	g1506	g1517	g1506	g1515	g1762	g1506	g1658	g1506	g1489	g3376	g1209	g1315	g1735	g1511	g1259	g1527	g1572	g1531	g1503	g1706	g1682	g1506	g1513	g1624	g1510	g1840	g1495	g1521	g1485	g1522	g1600	g1580	g1517	g1506	g1535	g1535	g1333	g1519	g1506	g1506	g1526	g1508	g1506	g1537	g1506	g1519	g1506	g1506	g1506	g1505	g1526	g1473	g1839	g1668	g1713	g1846	g1651	g1716	g1545	g1521	g1509
g1021	g1535	g1496	g1520	g1549	g1511	g1545	g1731	g1689	g1616	g1517	g1829	g1484	g1572	g1520	g1590	g1506	g1503	g1254	g1523	g1619	g1509	g1784	g1662	g1495	g1468	g1485	g1505	g1492	g1508	g1528	g1489	g1489	g1492	g1528	g1494	g1481	g1491	g1699	g1477	g1846	g1493	g1613	g1507	g1507	g1949	g1536	g1507	g1507	g1507	g1507	g1520	g1525	g1507	g1556	g1507	g1507	g1518	g1514	g1536	g1507	g1528	g1510	g1507	g1507	g1507	g1507	g1313	g1518	g1507	g1559	g1523	g1841	g2926	g1544	g1642	g1522	g2007	g1765	g1528	g1839	g2529	g1642	g1522	g1608	g1507	g1518	g1507	g1517	g1763	g1507	g1659	g1507	g1490	g3377	g1210	g1316	g1736	g1512	g1260	g1528	g1573	g1532	g1504	g1708	g1684	g1507	g1514	g1626	g1511	g1841	g1496	g1522	g1486	g1523	g1601	g1581	g1519	g1507	g1536	g1536	g1334	g1520	g1507	g1507	g1528	g1509	g1507	g1540	g1507	g1520	g1507	g1507	g1507	g1506	g1528	g1474	g1840	g1669	g1714	g1847	g1652	g1717	g1546	g1522	g1510
g1022	g1536	g1497	g1521	g1550	g1512	g1546	g1733	g1690	g1619	g1518	g1830	g1485	g1573	g1521	g1596	g1507	g1504	g1255	g1524	g1620	g1510	g1785	g1663	g1496	g1470	g1486	g1506	g1493	g1509	g1530	g1490	g1490	g1493	g1530	g1495	g1482	g1492	g1700	g1479	g1847	g1494	g1614	g1508	g1508	g1950	g1537	g1508	g1508	g1508	g1508	g1521	g1526	g1508	g1557	g1508	g1508	g1519	g1515	g1537	g1508	g1530	g1511	g1508	g1508	g1508	g1508	g1314	g1519	g1508	g1560	g1524	g1842	g2929	g1545	g1644	g1523	g2009	g1766	g1530	g1840	g2530	g1644	g1523	g1610	g1508	g1519	g1508	g1519	g1764	g1508	g1660	g1508	g1491	g3378	g1211	g1317	g1738	g1513	g1261	g1530	g1574	g1533	g1505	g1709	g1686	g1508	g1515	g1631	g1512	g1842	g1497	g1523	g1487	g1524	g1602	g1583	g1520	g1508	g1537	g1537	g1337	g1521	g1508	g1508	g1530	g1510	g1508	g1542	g1508	g1521	g1508	g1508	g1508	g1507	g1530	g1476	g1841	g1670	g1715	g1848	g1653	g1718	g1547	g1523	g1511
g1023	g1537	g1498	g1522	g1553	g1513	g1547	g1736	g1691	g1620	g1519	g1831	g1486	g1574	g1522	g1599	g1508	g1505	g1256	g1525	g1622	g1511	g1787	g1664	g1497	g1471	g1487	g1507	g1494	g1510	g1531	g1491	g1491	g1494	g1531	g1496	g1483	g1493	g1701	g1480	g1848	g1495	g1616	g1509	g1509	g1951	g1540	g1509	g1509	g1509	g1509	g1522	g1528	g1509	g1558	g1509	g1509	g1520	g1517	g1540	g1509	g1531	g1512	g1509	g1509	g1509	g1509	g1316	g1520	g1509	g1561	g1525	g1843	g2930	g1546	g1647	g1524	g2011	g1767	g1531	g1841	g2531	g1647	g1524	g1611	g1509	g1520	g1509	g1520	g1765	g1509	g1662	g1509	g1492	g3380	g1212	g1318	g1739	g1514	g1262	g1531	g1575	g1534	g1506	g1710	g1687	g1509	g1517	g1632	g1513	g1843	g1498	g1524	g1489	g1525	g1608	g1584	g1521	g1509	g1540	g1540	g1338	g1522	g1509	g1509	g1531	g1511	g1509	g1543	g1509	g1522	g1509	g1509	g1509	g1508	g1531	g1478	g1842	g1682	g1716	g1849	g1656	g1719	g1549	g1524	g1512
g1024	g1540	g1500	g1523	g1554	g1514	g1550	g1748	g1692	g1622	g1520	g1832	g1487	g1575	g1523	g1600	g1509	g1506	g1257	g1526	g1624	g1512	g1788	g1665	g1498	g1472	g1489	g1508	g1495	g1511	g1532	g1492	g1492	g1495	g1532	g1497	g1484	g1494	g1702	g1481	g1849	g1496	g1619	g1510	g1510	g1952	g1541	g1510	g1510	g1510	g1510	g1523	g1530	g1510	g1559	g1510	g1510	g1521	g1518	g1541	g1510	g1532	g1513	g1510	g1510	g1510	g1510	g1317	g1521	g1510	g1562	g1526	g1844	g2940	g1547	g1651	g1525	g2012	g1768	g1532	g1842	g2537	g1651	g1525	g1614	g1510	g1521	g1510	g1521	g1766	g1510	g1663	g1510	g1493	g3381	g1213	g1319	g1740	g1515	g1263	g1532	g1576	g1535	g1507	g1711	g1688	g1510	g1519	g1634	g1514	g1844	g1500	g1525	g1490	g1526	g1610	g1585	g1522	g1510	g1541	g1541	g1339	g1523	g1510	g1510	g1532	g1512	g1510	g1544	g1510	g1523	g1510	g1510	g1510	g1509	g1532	g1479	g1843	g1690	g1717	g1850	g1657	g1720	g1550	g1525	g1513
g1025	g1542	g1501	g1524	g1555	g1515	g1551	g1751	g1696	g1624	g1521	g1833	g1489	g1576	g1524	g1601	g1510	g1507	g1258	g1527	g1626	g1513	g1789	g1666	g1500	g1473	g1490	g1509	g1496	g1512	g1533	g1493	g1493	g1496	g1533	g1498	g1485	g1495	g1703	g1482	g1850	g1497	g1620	g1511	g1511	g1953	g1542	g1511	g1511	g1511	g1511	g1524	g1531	g1511	g1560	g1511	g1511	g1522	g1519	g1542	g1511	g1533	g1514	g1511	g1511	g1511	g1511	g1318	g1522	g1511	g1563	g1528	g1845	g2943	g1550	g1652	g1526	g2015	g1771	g1533	g1843	g2545	g1652	g1526	g1619	g1511	g1522	g1511	g1522	g1767	g1511	g1664	g1511	g1494	g3382	g1214	g1320	g1742	g1517	g1264	g1533	g1577	g1536	g1508	g1712	g1689	g1511	g1520	g1640	g1515	g1845	g1501	g1526	g1491	g1528	g1611	g1586	g1523	g1511	g1542	g1542	g1340	g1524	g1511	g1511	g1533	g1513	g1511	g1545	g1511	g1524	g1511	g1511	g1511	g1510	g1533	g1481	g1844	g1691	g1718	g1851	g1658	g1721	g1551	g1526	g1514
g1026	g1544	g1502	g1525	g1556	g1517	g1553	g1753	g1698	g1626	g1522	g1835	g1490	g1577	g1525	g1602	g1511	g1508	g1259	g1528	g1631	g1514	g1790	g1668	g1501	g1474	g1491	g1510	g1497	g1513	g1534	g1494	g1494	g1497	g1534	g1500	g1486	g1496	g1704	g1483	g1851	g1498	g1622	g1512	g1512	g1954	g1543	g1512	g1512	g1512	g1512	g1525	g1532	g1512	g1561	g1512	g1512	g1523	g1520	g1543	g1512	g1534	g1515	g1512	g1512	g1512	g1512	g1319	g1523	g1512	g1564	g1530	g1846	g2945	g1551	g1653	g1528	g2020	g1772	g1534	g1844	g2548	g1653	g1528	g1622	g1512	g1523	g1512	g1523	g1768	g1512	g1665	g1512	g1495	g3383	g1215	g1321	g1745	g1519	g1265	g1534	g1578	g1537	g1509	g1713	g1690	g1512	g1521	g1641	g1517	g1846	g1502	g1528	g1492	g1530	g1613	g1587	g1524	g1512	g1543	g1543	g1341	g1525	g1512	g1512	g1534	g1514	g1512	g1547	g1512	g1525	g1512	g1512	g1512	g1511	g1534	g1482	g1845	g1692	g1720	g1852	g1659	g1722	g1553	g1528	g1515
g1027	g1545	g1503	g1526	g1557	g1519	g1554	g1754	g1699	g1631	g1523	g1836	g1491	g1579	g1526	g1608	g1512	g1509	g1260	g1530	g1632	g1515	g1791	g1669	g1502	g1475	g1492	g1511	g1498	g1514	g1535	g1495	g1495	g1498	g1535	g1501	g1487	g1497	g1708	g1484	g1852	g1500	g1624	g1513	g1513	g1955	g1544	g1513	g1513	g1513	g1513	g1526	g1533	g1513	g1562	g1513	g1513	g1524	g1521	g1544	g1513	g1535	g1516	g1513	g1513	g1513	g1513	g1320	g1524	g1513	g1565	g1531	g1847	g2959	g1553	g1656	g1530	g2023	g1773	g1535	g1845	g2557	g1656	g1530	g1626	g1513	g1524	g1513	g1524	g1771	g1513	g1666	g1513	g1496	g3385	g1216	g1322	g1746	g1520	g1266	g1535	g1579	g1540	g1510	g1714	g1691	g1513	g1522	g1642	g1519	g1847	g1503	g1530	g1493	g1531	g1614	g1588	g1525	g1513	g1544	g1544	g1342	g1526	g1513	g1513	g1535	g1515	g1513	g1549	g1513	g1526	g1513	g1513	g1513	g1512	g1535	g1490	g1846	g1696	g1721	g1853	g1660	g1724	g1554	g1530	g1516
g1028	g1547	g1504	g1528	g1558	g1520	g1555	g1756	g1700	g1632	g1524	g1837	g1492	g1580	g1528	g1610	g1513	g1510	g1261	g1531	g1634	g1517	g1794	g1670	g1503	g1477	g1493	g1512	g1500	g1515	g1536	g1496	g1496	g1500	g1536	g1502	g1489	g1498	g1709	g1485	g1853	g1501	g1626	g1514	g1514	g1957	g1545	g1514	g1514	g1514	g1514	g1528	g1534	g1514	g1563	g1514	g1514	g1525	g1522	g1545	g1514	g1536	g1517	g1514	g1514	g1514	g1514	g1321	g1525	g1514	g1566	g1532	g1848	g2960	g1554	g1657	g1531	g2024	g1775	g1536	g1846	g2577	g1657	g1531	g1631	g1514	g1525	g1514	g1525	g1772	g1514	g1668	g1514	g1497	g3386	g1217	g1323	g1748	g1521	g1267	g1536	g1580	g1541	g1511	g1715	g1692	g1514	g1523	g1643	g1520	g1848	g1504	g1531	g1494	g1532	g1616	g1590	g1526	g1514	g1545	g1545	g1344	g1528	g1514	g1514	g1536	g1516	g1514	g1550	g1514	g1528	g1514	g1514	g1514	g1513	g1536	g1491	g1847	g1698	g1722	g1854	g1661	g1725	g1555	g1531	g1517
g1029	g1549	g1505	g1530	g1559	g1521	g1556	g1760	g1702	g1634	g1525	g1838	g1493	g1581	g1530	g1611	g1514	g1511	g1262	g1532	g1640	g1519	g1795	g1671	g1504	g1479	g1494	g1513	g1501	g1517	g1537	g1497	g1497	g1501	g1537	g1503	g1490	g1500	g1710	g1486	g1854	g1502	g1631	g1515	g1515	g1958	g1547	g1515	g1515	g1515	g1515	g1530	g1535	g1515	g1564	g1515	g1515	g1526	g1523	g1547	g1515	g1537	g1518	g1515	g1515	g1515	g1515	g1322	g1526	g1515	g1567	g1534	g1849	g2967	g1555	g1658	g1532	g2025	g1777	g1537	g1847	g2581	g1658	g1532	g1632	g1515	g1526	g1515	g1526	g1773	g1515	g1669	g1515	g1498	g3387	g1218	g1324	g1749	g1522	g1268	g1537	g1581	g1542	g1512	g1716	g1696	g1515	g1524	g1644	g1521	g1849	g1505	g1532	g1495	g1533	g1619	g1596	g1528	g1515	g1547	g1547	g1346	g1530	g1515	g1515	g1537	g1517	g1515	g1551	g1515	g1530	g1515	g1515	g1515	g1514	g1537	g1492	g1848	g1699	g1723	g1855	g1662	g1726	g1556	g1532	g1518
g1030	g1550	g1506	g1531	g1560	g1522	g1557	g1761	g1703	g1640	g1526	g1839	g1494	g1582	g1531	g1614	g1515	g1512	g1263	g1533	g1641	g1520	g1797	g1672	g1505	g1480	g1495	g1514	g1502	g1519	g1540	g1498	g1498	g1502	g1540	g1504	g1491	g1501	g1711	g1487	g1855	g1503	g1632	g1516	g1516	g1959	g1549	g1516	g1516	g1516	g1516	g1531	g1536	g1516	g1565	g1516	g1516	g1528	g1524	g1549	g1516	g1540	g1519	g1516	g1516	g1516	g1516	g1323	g1528	g1516	g1568	g1535	g1850	g2969	g1556	g1659	g1533	g2026	g1778	g1540	g1848	g2583	g1659	g1533	g1636	g1516	g1528	g1516	g1528	g1775	g1516	g1670	g1516	g1500	g3388	g1219	g1325	g1750	g1523	g1269	g1540	g1583	g1543	g1513	g1717	g1698	g1516	g1525	g1645	g1522	g1850	g1506	g1533	g1496	g1534	g1620	g1599	g1530	g1516	g1549	g1549	g1348	g1531	g1516	g1516	g1540	g1518	g1516	g1553	g1516	g1531	g1516	g1516	g1516	g1515	g1540	g1494	g1849	g1700	g1724	g1856	g1663	g1727	g1557	g1533	g1519
g1031	g1551	g1507	g1532	g1561	g1523	g1558	g1762	g1709	g1641	g1528	g1840	g1495	g1583	g1532	g1619	g1516	g1513	g1264	g1534	g1642	g1521	g1798	g1673	g1506	g1481	g1496	g1515	g1503	g1520	g1541	g1500	g1500	g1503	g1541	g1505	g1492	g1502	g1712	g1489	g1856	g1504	g1634	g1517	g1517	g1960	g1550	g1517	g1517	g1517	g1517	g1532	g1537	g1517	g1566	g1517	g1517	g1530	g1525	g1550	g1517	g1541	g1520	g1517	g1517	g1517	g1517	g1324	g1530	g1517	g1569	g1536	g1851	g2979	g1557	g1660	g1534	g2030	g1780	g1541	g1849	g2585	g1660	g1534	g1640	g1517	g1530	g1517	g1530	g1777	g1517	g1671	g1517	g1501	g3389	g1220	g1326	g1751	g1524	g1270	g1541	g1584	g1544	g1514	g1718	g1699	g1517	g1526	g1647	g1523	g1851	g1507	g1534	g1497	g1535	g1622	g1600	g1531	g1517	g1550	g1550	g1349	g1532	g1517	g1517	g1541	g1519	g1517	g1554	g1517	g1532	g1517	g1517	g1517	g1516	g1541	g1500	g1850	g1702	g1725	g1857	g1664	g1728	g1558	g1534	g1520
g1032	g1553	g1508	g1533	g1562	g1524	g1559	g1763	g1710	g1642	g1530	g1841	g1496	g1584	g1533	g1622	g1517	g1514	g1265	g1535	g1643	g1522	g1799	g1674	g1507	g1482	g1497	g1517	g1504	g1521	g1542	g1501	g1501	g1504	g1542	g1506	g1493	g1503	g1713	g1490	g1857	g1505	g1640	g1518	g1518	g1961	g1551	g1518	g1518	g1518	g1518	g1533	g1540	g1518	g1567	g1518	g1518	g1531	g1526	g1551	g1518	g1542	g1521	g1518	g1518	g1518	g1518	g1329	g1531	g1518	g1570	g1537	g1852	g2995	g1558	g1663	g1535	g2035	g1781	g1542	g1850	g2587	g1663	g1535	g1641	g1518	g1531	g1518	g1531	g1778	g1518	g1672	g1518	g1502	g3390	g1221	g1327	g1752	g1525	g1271	g1542	g1585	g1545	g1515	g1719	g1700	g1518	g1527	g1648	g1524	g1852	g1508	g1535	g1498	g1536	g1624	g1601	g1532	g1518	g1551	g1551	g1352	g1533	g1518	g1518	g1542	g1520	g1518	g1555	g1518	g1533	g1518	g1518	g1518	g1517	g1542	g1502	g1851	g1703	g1726	g1858	g1665	g1729	g1559	g1535	g1521
g1033	g1554	g1509	g1534	g1564	g1525	g1560	g1764	g1711	g1643	g1531	g1842	g1497	g1585	g1534	g1626	g1518	g1515	g1266	g1536	g1644	g1523	g1801	g1682	g1508	g1483	g1498	g1518	g1505	g1522	g1543	g1502	g1502	g1505	g1543	g1507	g1494	g1504	g1714	g1491	g1858	g1506	g1641	g1519	g1519	g1962	g1553	g1519	g1519	g1519	g1519	g1534	g1541	g1519	g1569	g1519	g1519	g1532	g1528	g1553	g1519	g1543	g1522	g1519	g1519	g1519	g1519	g1330	g1532	g1519	g1571	g1540	g1853	g3006	g1559	g1664	g1536	g2053	g1782	g1543	g1851	g2588	g1664	g1536	g1642	g1519	g1532	g1519	g1532	g1780	g1519	g1673	g1519	g1503	g3392	g1222	g1328	g1753	g1526	g1272	g1543	g1586	g1546	g1517	g1720	g1702	g1519	g1528	g1650	g1525	g1853	g1509	g1536	g1500	g1537	g1626	g1602	g1533	g1519	g1553	g1553	g1353	g1534	g1519	g1519	g1543	g1521	g1519	g1556	g1519	g1534	g1519	g1519	g1519	g1518	g1543	g1503	g1852	g1709	g1727	g1859	g1666	g1730	g1560	g1536	g1522
g1034	g1555	g1510	g1535	g1565	g1526	g1561	g1767	g1712	g1644	g1532	g1843	g1498	g1586	g1535	g1631	g1519	g1516	g1267	g1537	g1647	g1524	g1803	g1683	g1509	g1484	g1500	g1519	g1506	g1523	g1544	g1503	g1503	g1506	g1544	g1508	g1495	g1505	g1716	g1492	g1859	g1507	g1642	g1520	g1520	g1963	g1554	g1520	g1520	g1520	g1520	g1535	g1542	g1520	g1570	g1520	g1520	g1533	g1530	g1554	g1520	g1544	g1523	g1520	g1520	g1520	g1520	g1332	g1533	g1520	g1572	g1542	g1854	g3008	g1560	g1668	g1537	g2065	g1784	g1544	g1852	g2594	g1668	g1537	g1644	g1520	g1533	g1520	g1533	g1781	g1520	g1674	g1520	g1504	g3393	g1223	g1329	g1754	g1527	g1273	g1544	g1587	g1547	g1518	g1721	g1703	g1520	g1530	g1651	g1526	g1854	g1510	g1537	g1501	g1540	g1630	g1608	g1534	g1520	g1554	g1554	g1355	g1535	g1520	g1520	g1544	g1522	g1520	g1557	g1520	g1535	g1520	g1520	g1520	g1519	g1544	g1504	g1853	g1710	g1728	g1860	g1668	g1731	g1561	g1537	g1523
